"Reference","Value","Footprint","Qty"
"C1,C2","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2"
"D1,D2,D3,D4","LED_Filled","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","4"
"R2,R3,R4,R5","1kΩ","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4"
"U1","PFS154-S16","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","1"
"U2","ZD25WQ16C","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1"
